Step,LA-PS:CH8:SETI,LA-PS:CV8:SETI,UD-PS:CH3:SETI,UD-PS:CH4:SETI,UD-PS:CH5:SETI,UD-PS:CH6:SETI,UD-PS:CH7:SETI,UD-PS:CV3:SETI,UD-PS:CV4:SETI,UD-PS:CV5:SETI,UD-PS:CV6:SETI,UD-PS:CV7:SETI,LA-BI:SBPM1:POS_X,LA-BI:SBPM2:POS_X,LA-BI:SBPM3:POS_X,LA-BI:SBPM4:POS_X,LA-BI:SBPM5:POS_X,LA-BI:SBPM7:POS_X,LA-BI:SBPM1:POS_Y,LA-BI:SBPM2:POS_Y,LA-BI:SBPM3:POS_Y,LA-BI:SBPM4:POS_Y,LA-BI:SBPM5:POS_Y,LA-BI:SBPM7:POS_Y,LA-BI:SBPM1:POS_S,LA-BI:SBPM2:POS_S,LA-BI:SBPM3:POS_S,LA-BI:SBPM4:POS_S,LA-BI:SBPM5:POS_S,LA-BI:SBPM7:POS_S,UD-BI:CBPM1:POS_X,UD-BI:CBPM2:POS_X,UD-BI:CBPM3:POS_X,UD-BI:CBPM4:POS_X,UD-BI:CBPM1:POS_Y,UD-BI:CBPM2:POS_Y,UD-BI:CBPM3:POS_Y,UD-BI:CBPM4:POS_Y,UD-BI:CBPM1:CH4_MAXADC,UD-BI:CBPM2:CH4_MAXADC,UD-BI:CBPM3:CH4_MAXADC,UD-BI:CBPM4:CH4_MAXADC,UD-BI:CBPM6:POS_X,UD-BI:CBPM7:POS_X,UD-BI:CBPM8:POS_X,UD-BI:CBPM9:POS_X,UD-BI:CBPM10:POS_X,UD-BI:CBPM6:POS_Y,UD-BI:CBPM7:POS_Y,UD-BI:CBPM8:POS_Y,UD-BI:CBPM9:POS_Y,UD-BI:CBPM10:POS_Y,UD-BI:CBPM6:CH4_MAXADC,UD-BI:CBPM7:CH4_MAXADC,UD-BI:CBPM8:CH4_MAXADC,UD-BI:CBPM9:CH4_MAXADC,UD-BI:CBPM10:CH4_MAXADC,pd_energy,Reward
0.0,0.995341739047239,0.7860104259194604,-0.8864448086249757,0.1826655087251172,1.7326141604640246,1.0875352767496411,-0.05112351549907579,0.40704312317120517,0.5972743626718467,-0.6182343486491577,-0.19764553042707014,-0.25507232956254844,-2.196654874850064,0.2487673035711513,0.9336255351752021,0.508568329691887,1.5993665691502392,1.8494583591893317,-1.6910823815278708,1.3663608482927085,1.3792583184130487,0.4460433044582606,-0.6948920851350079,0.9838228487558661,67190.8,108118.5,37074.3,85232.6,90041.1,79251.8,1.722006575584406,1.4143038511275858,0.29346552658081054,1.904109906196594,1.3802160978316855,2.2900109586715507,1.2571243085861208,-0.12859793567657235,3059.6,3090.8,1679.4,3970.9,3.1127017181396535,0.6189373193740835,0.7297006130218506,0.36073822975158987,-0.0423733644485472,1.4489081630706788,0.795714891052246,0.30954219818115236,0.09244088409423827,2.185290919876099,4068.0,4316.2,3644.0,3446.9,3811.3,2.872848974637282,0.02489447934581573
1.0,0.9344418512559672,0.6079828210304807,-0.9787209219536057,0.41401071389310395,1.3195937611373767,1.0484268273719375,-0.08122968679834143,0.29175972212268814,0.6918007161811277,-0.3834963548579359,-0.6216083779328415,-0.5705185378486827,-2.1874849936217062,0.2631511144750283,0.978364504728464,0.5896972349137067,1.6346497326642275,1.935375647556037,-1.6747347733229396,1.3404723264388743,1.3398969820328057,0.4325744229778647,-0.7484411116875955,0.9846343908123674,67826.6,109214.1,37426.6,85915.7,90630.5,79720.9,1.758698908805842,1.288782737731957,0.5408338193893432,1.826998789787292,1.4791635112762045,2.409501675605755,1.6855367755889894,0.6374438896179231,3083.1,3100.9,1760.9,3940.3,2.7120999916076713,0.5602384866714487,0.2510086441040039,0.2710841846466094,-0.3183463891983164,0.671008964920046,1.1475478275299071,0.0164509105682373,0.06417182502746581,2.6925851200103748,4256.2,4185.4,3908.8,3098.9,3748.1,2.9271620195132524,0.5230236829855329
2.0,0.9137551038590116,0.6988207128734176,-1.288078097556406,0.5543932977884826,1.6554022329398381,0.5810969320251322,0.1240134399302675,0.260743960345545,0.7871073698655212,-0.412431380615637,-0.3765905190084089,-0.37027848131198626,-2.1910978399254377,0.25066907693450313,0.9405697986893333,0.5156276750937104,1.5731161109283567,1.8635049375519155,-1.6897070340737699,1.356433153074235,1.364398071717471,0.43980489122495053,-0.6779296097941944,0.9873098997920751,67610.7,108830.7,37308.3,85861.2,90691.1,79831.9,1.8361917695999093,1.7913160943984754,0.5004787988662721,0.8505282649993889,1.423893505096395,2.0628444957732968,0.8183337850570679,0.4342748374939004,3250.0,2977.8,1725.3,3923.2,2.017678583335898,1.2670700618743926,0.6098427772521973,-0.019239835739132804,-0.5698449813842839,0.7309178115844721,2.010892305755615,0.11640983390808106,0.08530496475219726,2.2874738407135013,4491.5,3954.1,3739.7,3370.7,3828.8,2.872848974637282,0.025019377801774788
3.0,0.9751038842130756,0.4622859535715865,-1.2432353700617098,0.5123782588058513,1.3040516168433578,0.6591190875902909,0.09730591732237392,0.4484934800202539,0.6871019205417006,-0.5314150162727639,-0.5574958180075712,-0.283304306120597,-2.1949736432954667,0.2521327355504499,0.9435130658224201,0.5252124856077135,1.6482884165495633,1.815772153731436,-1.688362647693604,1.363682870909572,1.3763364723846316,0.44461211114376786,-0.7462624699808905,0.9734284726046025,67337.3,108400.3,37146.5,85362.3,90156.9,79370.7,1.7550637588500924,2.11081465816494,0.3661892023086548,0.9877955398559568,1.6728247652053425,3.354725994110089,1.086220516204834,1.1102765531539958,3006.1,3140.0,1697.4,3844.7,1.792981003189076,1.2426152706146243,0.4417720699310303,-0.03542178153991404,-0.43629432983399086,1.4536276567459114,0.8334168121337893,0.4098168296813964,0.11690782341003417,2.7872070430755618,4154.7,4253.1,3719.0,3264.6,3363.7,2.872848974637282,0.024148702036374897
4.0,0.8170117991782446,0.8512745071150165,-1.271544595918838,0.44881252728030174,1.3277781406155482,0.8068470380692496,-0.28170602248930976,0.45153325639548914,0.9256677628635964,-0.6197841081247867,-0.41407345745756075,-0.30893001583809737,-2.189477569170296,0.256408343933569,0.9605662839710691,0.5513529938459397,1.6324848156198857,1.8304138661399485,-1.681056594841182,1.3469523180462422,1.353412457808852,0.4341931414380669,-0.7422459987178692,0.9858534343242645,67801.7,109145.3,37404.9,85949.0,90710.3,79863.1,1.9676434436798107,1.3558587455749127,0.585972659111023,1.491512605667114,1.3091162500381066,2.3060144777297777,1.6844518032073974,0.4891479873657267,3158.5,3101.9,1670.2,3878.4,2.2603252218246515,0.7734934034347534,0.012741880416870115,0.19928429603576955,-0.40227625923156046,0.45692082004547185,0.8961207950592043,0.015460126876831053,0.04653258285522461,2.6548000101089473,4033.6,4101.9,3707.3,3321.0,3794.1,3.5686930732002233,0.6320341854201559
5.0,0.8613128358212745,0.5999399705517777,-1.3281860674134816,0.5884202178871218,1.6475086018570697,0.9952234254990386,0.05814172465420653,0.23261247414921643,0.8775093909915539,-0.23509363348657458,-0.6750092789658614,-0.7084390040860172,-2.1973568769097325,0.25013958319281204,0.9421209598034597,0.5261241153441369,1.6510159684084358,1.8377169190198182,-1.6892122676298027,1.3660778386294845,1.3861674276776612,0.44620263099297874,-0.7473897810615847,0.9692864068262279,67686.0,108988.9,37351.0,85907.9,90748.3,79869.7,1.9355773235321003,1.7110030488967507,0.5794485425949096,0.5748955049514766,1.5877515401839806,2.289596595764141,1.4699567012786865,1.1572803478241007,3206.7,3031.7,1733.1,4048.9,2.3497561313629096,1.0063405967712393,0.27478600502014155,-0.15735494613647166,0.1585609958648617,1.8311360460281385,2.3804898223876956,0.345546667098999,0.18161077461242675,2.0742284235000605,4313.9,3920.7,3847.4,3288.7,3268.6,2.872848974637282,0.02404628665655493
6.0,0.7240254421827874,0.9122966505568382,-0.9399455121448346,0.3511273746454169,1.2408816223631456,0.6025586582060622,-0.09217694339610892,0.26789343346231925,0.8738331772420074,-0.4137215273940177,-0.7032940511783081,-0.6883886940633728,-2.203187873512507,0.24521266974140868,0.9256031674817183,0.48949219131469734,1.560666247457266,1.846637225717306,-1.6998629081659018,1.3757001982815569,1.4006216177679596,0.4573194519951939,-0.6469893320873628,0.9910751113370061,67269.2,108291.9,37120.8,85528.9,90417.9,79639.8,1.8953294591903738,2.3578494586944974,0.9272091550827026,1.3938098459243768,1.3130736398696494,1.962862222671528,0.44888876247406007,0.09608836460113765,3158.1,3115.7,1738.4,3923.2,2.4497933788299564,0.9595114131927481,1.2974918746948243,0.5317646598815948,-0.006495187377949562,0.2220076818466187,2.330811527252197,0.46303300094604494,0.027282033767700185,1.612457577323914,4175.3,4684.5,3925.6,3338.5,3714.2,2.872848974637282,0.025502797101334455
7.0,0.6931254990336999,0.5049999382533112,-0.916855425467558,0.5587932738182254,1.3452158423288503,0.7690711051539524,0.08986324605919886,0.41652869007105375,0.7890110876266592,-0.2883228094333536,-0.41505110396275346,-0.4534803224371998,-2.1889417079091067,0.2525585422106551,0.9403252344801999,0.5223173085153103,1.567927176311612,1.9454121985174715,-1.685368731636554,1.3566976991929116,1.3650889475829897,0.4382190791554749,-0.6776595585420976,0.9883325398229064,67458.9,108655.3,37224.3,85729.1,90436.8,79732.7,1.9045791448593186,2.6496468200683987,1.1918111057281495,2.004969470024108,1.5997362365722254,3.1423349933624074,0.7647937784194947,1.9110311880111728,3066.3,3125.2,1710.5,3962.2,2.837542511177058,1.3954945663452156,1.2554329204559325,0.4725859737396271,-1.0545874546050957,0.8179703334808336,0.6803284759521487,1.0452485160827636,0.04307361015319823,1.1896170465469373,4449.9,4065.6,3301.4,2843.0,260.4,2.872848974637282,0.019009275637364625
8.0,1.0069006041447557,0.533090608770524,-0.9008678363670548,0.2244099832153812,1.1579969633630205,1.1241228965880128,-0.04402900894970724,0.09202241746673698,0.8564195352239221,-0.6339745327360741,-0.3768501956875205,-0.19269883049200345,-2.1856215582676226,0.2564676704407202,0.9615798025019446,0.5558813548646867,1.5761734901182354,1.963545604709536,-1.679017682299018,1.3447182574309413,1.341165303133428,0.4316782652959228,-0.6927662186287591,0.9856149379201232,67737.9,109048.5,37369.6,85931.5,90712.9,79837.2,1.6344767456054634,1.434798889160133,0.28062248611450197,1.5616498041152949,1.5314511842727256,1.9633609828948786,0.5927495794296265,-0.20742406272887792,3147.8,3151.5,1747.9,3825.3,3.100317209434504,0.7041912588119515,0.4743070220947265,0.5580233860015898,-0.6793383710861137,1.440520944023131,0.8655379932403564,0.35358997535705566,0.10747899948120118,2.050450925636293,4365.6,4186.0,3606.1,1010.6,4092.6,2.872848974637282,0.021557404634970478
9.0,0.8685841373909173,1.0209728728372995,-1.204805408950613,0.0824173027119959,1.4672513338017497,0.7919005517920078,-0.16597137915105112,0.3703768447563785,0.7169005022456448,-0.7328268165395383,-0.49082989334632543,-0.227883643504576,-2.197127951577306,0.24859623162080516,0.9397664818167664,0.5170109819471836,1.6181273315250873,1.8631473074592648,-1.694111901406199,1.3657933445312085,1.3826439471915364,0.44627537962049246,-0.7126605267115186,0.9817521438561378,67688.0,108948.5,37354.7,85974.2,90817.4,79956.6,1.9228262731552093,1.5608852205276258,0.20387813758850096,1.7507753295898432,1.1922069473266195,1.949696011543293,0.6491419258117676,0.13039125919341726,3211.9,3049.0,1685.3,3881.8,2.8256775793075453,0.5671008024215698,0.1791434097290039,0.5469802951812774,-0.997205334281908,1.8928092170715345,2.0244863052368163,0.7761635055541992,0.24044981239318847,0.8252794181823742,4228.5,4339.2,3756.7,3324.2,3593.8,2.872848974637282,0.024778413686416586
